name,byname,floor,exclsv,ttlfloor,area
cldstrg,저온창고,b1,exclsv,ttlfloor,8481.27
office,사무실,b1,exclsv,ttlfloor,685.55
canopy,캐노피,b1,exclsv,ttlfloor,0
stair,계단실,b1,exclsv,ttlfloor,197.61
berth,Berth,b1,exclsv,ttlfloor,1610.59
mchnrm,기계실,b1,exclsv,ttlfloor,1731.67
passage,상하차통로,b1,common,ttlfloor,2302.99
ramp,램프,b1,common,ttlfloor,0
cldstrg,저온창고,f1,exclsv,ttlfloor,9526.66
office,사무실,f1,exclsv,ttlfloor,289.05
canopy,캐노피,f1,exclsv,ttlfloor,0
stair,계단실,f1,exclsv,ttlfloor,219.51
berth,Berth,f1,exclsv,nonfloor,870.96
mchnrm,기계실,f1,exclsv,ttlfloor,0
passage,상하차통로,f1,common,nonfloor,1737.88
ramp,램프,f1,common,ttlfloor,0
nmlstrg,상온창고,f2,exclsv,ttlfloor,8665.99
office,사무실,f2,exclsv,ttlfloor,243.8
canopy,캐노피,f2,exclsv,ttlfloor,0
stair,계단실,f2,exclsv,ttlfloor,241
berth,Berth,f2,exclsv,ttlfloor,1576.62
mchnrm,기계실,f2,exclsv,ttlfloor,0
passage,상하차통로,f2,common,ttlfloor,2213.74
ramp,램프,f2,common,ttlfloor,0
nmlstrg,상온창고,f3,exclsv,ttlfloor,8920.76
office,사무실,f3,exclsv,ttlfloor,75.77
canopy,캐노피,f3,exclsv,ttlfloor,0
stair,계단실,f3,exclsv,ttlfloor,219.51
berth,Berth,f3,exclsv,ttlfloor,1289.95
mchnrm,기계실,f3,exclsv,ttlfloor,0
passage,상하차통로,f3,common,nonfloor,1849.31
ramp,램프,f3,common,ttlfloor,0
nmlstrg,상온창고,f4,exclsv,ttlfloor,4621.3
office,사무실,f4,exclsv,ttlfloor,64.52
canopy,캐노피,f4,exclsv,ttlfloor,672.06
stair,계단실,f4,exclsv,ttlfloor,125.16
berth,Berth,f4,exclsv,ttlfloor,0
mchnrm,기계실,f4,exclsv,ttlfloor,0
passage,상하차통로,f4,common,ttlfloor,0
ramp,램프,f4,common,ttlfloor,0